gender,id,item,question,condition,rating,belief,outcome
female,293,Grace,wrongness,neutral,1,neutral,neutral
male,296,Grace,wrongness,neutral,1,neutral,neutral
male,300,Grace,wrongness,neutral,1,neutral,neutral
male,304,Grace,wrongness,neutral,1,neutral,neutral
female,310,Grace,wrongness,neutral,1,neutral,neutral
female,313,Grace,wrongness,neutral,3,neutral,neutral
male,318,Grace,wrongness,neutral,1,neutral,neutral
male,320,Grace,wrongness,neutral,1,neutral,neutral
male,323,Grace,wrongness,neutral,1,neutral,neutral
female,332,Grace,wrongness,neutral,2,neutral,neutral
female,333,Grace,wrongness,neutral,4,neutral,neutral
female,338,Grace,wrongness,neutral,1,neutral,neutral
male,339,Grace,wrongness,neutral,6,neutral,neutral
female,349,Grace,wrongness,neutral,5,neutral,neutral
male,350,Grace,wrongness,neutral,1,neutral,neutral
male,351,Grace,wrongness,neutral,1,neutral,neutral
male,355,Grace,wrongness,neutral,1,neutral,neutral
female,358,Grace,wrongness,neutral,1,neutral,neutral
female,365,Grace,wrongness,neutral,1,neutral,neutral
male,366,Grace,wrongness,neutral,5,neutral,neutral
male,369,Grace,wrongness,neutral,1,neutral,neutral
male,377,Grace,wrongness,neutral,2,neutral,neutral
male,379,Grace,wrongness,neutral,1,neutral,neutral
female,383,Grace,wrongness,neutral,1,neutral,neutral
female,387,Grace,wrongness,neutral,1,neutral,neutral
female,393,Grace,wrongness,neutral,1,neutral,neutral
female,395,Grace,wrongness,neutral,1,neutral,neutral
male,401,Grace,wrongness,neutral,4,neutral,neutral
male,404,Grace,wrongness,neutral,1,neutral,neutral
male,411,Grace,wrongness,neutral,1,neutral,neutral
female,418,Grace,wrongness,neutral,2,neutral,neutral
male,420,Grace,wrongness,neutral,1,neutral,neutral
male,421,Grace,wrongness,neutral,1,neutral,neutral
female,422,Grace,wrongness,neutral,1,neutral,neutral
male,423,Grace,wrongness,neutral,1,neutral,neutral
male,430,Grace,wrongness,neutral,1,neutral,neutral
female,437,Grace,wrongness,neutral,1,neutral,neutral
female,446,Grace,wrongness,neutral,1,neutral,neutral
male,449,Grace,wrongness,neutral,1,neutral,neutral
female,451,Grace,wrongness,neutral,1,neutral,neutral
female,452,Grace,wrongness,neutral,1,neutral,neutral
female,459,Grace,wrongness,neutral,1,neutral,neutral
female,460,Grace,wrongness,neutral,1,neutral,neutral
female,462,Grace,wrongness,neutral,1,neutral,neutral
male,467,Grace,wrongness,neutral,1,neutral,neutral
female,469,Grace,wrongness,neutral,1,neutral,neutral
male,472,Grace,wrongness,neutral,3,neutral,neutral
female,482,Grace,wrongness,neutral,1,neutral,neutral
female,483,Grace,wrongness,neutral,2,neutral,neutral
male,488,Grace,wrongness,neutral,1,neutral,neutral
female,490,Grace,wrongness,neutral,1,neutral,neutral
male,497,Grace,wrongness,neutral,1,neutral,neutral
female,501,Grace,wrongness,neutral,1,neutral,neutral
female,3,Anna,wrongness,neutral,2,neutral,neutral
female,9,Anna,wrongness,neutral,1,neutral,neutral
female,10,Anna,wrongness,neutral,6,neutral,neutral
male,13,Anna,wrongness,neutral,2,neutral,neutral
female,19,Anna,wrongness,neutral,4,neutral,neutral
female,25,Anna,wrongness,neutral,1,neutral,neutral
female,27,Anna,wrongness,neutral,1,neutral,neutral
male,28,Anna,wrongness,neutral,1,neutral,neutral
female,38,Anna,wrongness,neutral,1,neutral,neutral
male,44,Anna,wrongness,neutral,4,neutral,neutral
male,46,Anna,wrongness,neutral,1,neutral,neutral
female,49,Anna,wrongness,neutral,1,neutral,neutral
male,51,Anna,wrongness,neutral,1,neutral,neutral
male,57,Anna,wrongness,neutral,1,neutral,neutral
female,60,Anna,wrongness,neutral,1,neutral,neutral
male,64,Anna,wrongness,neutral,4,neutral,neutral
male,65,Anna,wrongness,neutral,1,neutral,neutral
male,74,Anna,wrongness,neutral,1,neutral,neutral
female,77,Anna,wrongness,neutral,1,neutral,neutral
male,80,Anna,wrongness,neutral,1,neutral,neutral
male,85,Anna,wrongness,neutral,1,neutral,neutral
male,89,Anna,wrongness,neutral,1,neutral,neutral
male,94,Anna,wrongness,neutral,1,neutral,neutral
male,95,Anna,wrongness,neutral,4,neutral,neutral
male,100,Anna,wrongness,neutral,4,neutral,neutral
male,108,Anna,wrongness,neutral,1,neutral,neutral
female,109,Anna,wrongness,neutral,2,neutral,neutral
male,113,Anna,wrongness,neutral,1,neutral,neutral
male,116,Anna,wrongness,neutral,1,neutral,neutral
female,119,Anna,wrongness,neutral,1,neutral,neutral
female,123,Anna,wrongness,neutral,1,neutral,neutral
female,129,Anna,wrongness,neutral,1,neutral,neutral
female,133,Anna,wrongness,neutral,1,neutral,neutral
female,138,Anna,wrongness,neutral,1,neutral,neutral
male,139,Anna,wrongness,neutral,2,neutral,neutral
male,141,Anna,wrongness,neutral,1,neutral,neutral
male,146,Anna,wrongness,neutral,1,neutral,neutral
female,149,Anna,wrongness,neutral,1,neutral,neutral
male,155,Anna,wrongness,neutral,2,neutral,neutral
male,161,Anna,wrongness,neutral,5,neutral,neutral
female,166,Anna,wrongness,neutral,1,neutral,neutral
female,167,Anna,wrongness,neutral,1,neutral,neutral
female,173,Anna,wrongness,neutral,1,neutral,neutral
female,178,Anna,wrongness,neutral,1,neutral,neutral
male,183,Anna,wrongness,neutral,2,neutral,neutral
male,186,Anna,wrongness,neutral,2,neutral,neutral
female,187,Anna,wrongness,neutral,3,neutral,neutral
male,194,Anna,wrongness,neutral,1,neutral,neutral
male,198,Anna,wrongness,neutral,5,neutral,neutral
male,200,Anna,wrongness,neutral,1,neutral,neutral
female,202,Anna,wrongness,neutral,1,neutral,neutral
female,210,Anna,wrongness,neutral,5,neutral,neutral
male,212,Anna,wrongness,neutral,1,neutral,neutral
male,213,Anna,wrongness,neutral,1,neutral,neutral
male,215,Anna,wrongness,neutral,1,neutral,neutral
male,220,Anna,wrongness,neutral,1,neutral,neutral
male,228,Anna,wrongness,neutral,3,neutral,neutral
female,240,Anna,wrongness,neutral,1,neutral,neutral
male,243,Anna,wrongness,neutral,1,neutral,neutral
male,244,Anna,wrongness,neutral,1,neutral,neutral
female,248,Anna,wrongness,neutral,3,neutral,neutral
female,253,Anna,wrongness,neutral,1,neutral,neutral
male,254,Anna,wrongness,neutral,3,neutral,neutral
male,255,Anna,wrongness,neutral,2,neutral,neutral
male,258,Anna,wrongness,neutral,1,neutral,neutral
female,260,Anna,wrongness,neutral,1,neutral,neutral
male,266,Anna,wrongness,neutral,3,neutral,neutral
female,272,Anna,wrongness,neutral,1,neutral,neutral
female,277,Anna,wrongness,neutral,3,neutral,neutral
male,280,Anna,wrongness,neutral,4,neutral,neutral
female,287,Anna,wrongness,neutral,1,neutral,neutral
male,288,Anna,wrongness,neutral,1,neutral,neutral
male,291,Anna,wrongness,neutral,4,neutral,neutral
male,297,Anna,wrongness,neutral,3,neutral,neutral
3,299,Anna,wrongness,neutral,1,neutral,neutral
male,305,Anna,wrongness,neutral,1,neutral,neutral
female,315,Anna,wrongness,neutral,1,neutral,neutral
female,316,Anna,wrongness,neutral,1,neutral,neutral
female,317,Anna,wrongness,neutral,1,neutral,neutral
male,319,Anna,wrongness,neutral,1,neutral,neutral
female,325,Anna,wrongness,neutral,1,neutral,neutral
female,328,Anna,wrongness,neutral,1,neutral,neutral
female,336,Anna,wrongness,neutral,1,neutral,neutral
male,337,Anna,wrongness,neutral,1,neutral,neutral
male,344,Anna,wrongness,neutral,1,neutral,neutral
male,345,Anna,wrongness,neutral,1,neutral,neutral
male,352,Anna,wrongness,neutral,1,neutral,neutral
male,353,Anna,wrongness,neutral,5,neutral,neutral
male,361,Anna,wrongness,neutral,2,neutral,neutral
male,362,Anna,wrongness,neutral,1,neutral,neutral
male,367,Anna,wrongness,neutral,1,neutral,neutral
male,371,Anna,wrongness,neutral,1,neutral,neutral
female,375,Anna,wrongness,neutral,2,neutral,neutral
female,380,Anna,wrongness,neutral,1,neutral,neutral
male,384,Anna,wrongness,neutral,4,neutral,neutral
female,386,Anna,wrongness,neutral,5,neutral,neutral
female,391,Anna,wrongness,neutral,1,neutral,neutral
male,392,Anna,wrongness,neutral,2,neutral,neutral
male,400,Anna,wrongness,neutral,1,neutral,neutral
male,402,Anna,wrongness,neutral,6,neutral,neutral
female,406,Anna,wrongness,neutral,1,neutral,neutral
male,412,Anna,wrongness,neutral,1,neutral,neutral
male,413,Anna,wrongness,neutral,3,neutral,neutral
female,417,Anna,wrongness,neutral,1,neutral,neutral
male,424,Anna,wrongness,neutral,1,neutral,neutral
female,425,Anna,wrongness,neutral,7,neutral,neutral
male,433,Anna,wrongness,neutral,1,neutral,neutral
female,434,Anna,wrongness,neutral,1,neutral,neutral
female,436,Anna,wrongness,neutral,1,neutral,neutral
male,440,Anna,wrongness,neutral,1,neutral,neutral
female,443,Anna,wrongness,neutral,1,neutral,neutral
male,448,Anna,wrongness,neutral,1,neutral,neutral
male,453,Anna,wrongness,neutral,1,neutral,neutral
3,454,Anna,wrongness,neutral,1,neutral,neutral
male,464,Anna,wrongness,neutral,1,neutral,neutral
female,466,Anna,wrongness,neutral,3,neutral,neutral
male,470,Anna,wrongness,neutral,1,neutral,neutral
female,474,Anna,wrongness,neutral,1,neutral,neutral
female,480,Anna,wrongness,neutral,1,neutral,neutral
male,481,Anna,wrongness,neutral,5,neutral,neutral
female,487,Anna,wrongness,neutral,2,neutral,neutral
female,492,Anna,wrongness,neutral,1,neutral,neutral
female,494,Anna,wrongness,neutral,4,neutral,neutral
female,495,Anna,wrongness,neutral,7,neutral,neutral
male,502,Anna,wrongness,neutral,1,neutral,neutral
male,1,Frank,wrongness,neutral,1,neutral,neutral
female,5,Frank,wrongness,neutral,1,neutral,neutral
male,6,Frank,wrongness,neutral,1,neutral,neutral
female,8,Frank,wrongness,neutral,1,neutral,neutral
male,15,Frank,wrongness,neutral,1,neutral,neutral
female,18,Frank,wrongness,neutral,1,neutral,neutral
female,23,Frank,wrongness,neutral,6,neutral,neutral
male,26,Frank,wrongness,neutral,1,neutral,neutral
male,29,Frank,wrongness,neutral,4,neutral,neutral
male,32,Frank,wrongness,neutral,1,neutral,neutral
male,41,Frank,wrongness,neutral,1,neutral,neutral
male,43,Frank,wrongness,neutral,1,neutral,neutral
male,48,Frank,wrongness,neutral,1,neutral,neutral
male,50,Frank,wrongness,neutral,1,neutral,neutral
male,62,Frank,wrongness,neutral,1,neutral,neutral
male,63,Frank,wrongness,neutral,1,neutral,neutral
female,66,Frank,wrongness,neutral,1,neutral,neutral
female,67,Frank,wrongness,neutral,1,neutral,neutral
male,73,Frank,wrongness,neutral,1,neutral,neutral
male,81,Frank,wrongness,neutral,1,neutral,neutral
male,82,Frank,wrongness,neutral,4,neutral,neutral
female,83,Frank,wrongness,neutral,1,neutral,neutral
female,88,Frank,wrongness,neutral,5,neutral,neutral
male,91,Frank,wrongness,neutral,1,neutral,neutral
female,96,Frank,wrongness,neutral,1,neutral,neutral
male,104,Frank,wrongness,neutral,1,neutral,neutral
male,105,Frank,wrongness,neutral,1,neutral,neutral
female,114,Frank,wrongness,neutral,1,neutral,neutral
male,118,Frank,wrongness,neutral,1,neutral,neutral
female,122,Frank,wrongness,neutral,1,neutral,neutral
male,124,Frank,wrongness,neutral,1,neutral,neutral
male,125,Frank,wrongness,neutral,1,neutral,neutral
male,131,Frank,wrongness,neutral,1,neutral,neutral
male,136,Frank,wrongness,neutral,1,neutral,neutral
male,137,Frank,wrongness,neutral,1,neutral,neutral
male,142,Frank,wrongness,neutral,1,neutral,neutral
male,143,Frank,wrongness,neutral,2,neutral,neutral
female,144,Frank,wrongness,neutral,1,neutral,neutral
female,147,Frank,wrongness,neutral,2,neutral,neutral
female,151,Frank,wrongness,neutral,1,neutral,neutral
female,162,Frank,wrongness,neutral,1,neutral,neutral
male,165,Frank,wrongness,neutral,1,neutral,neutral
male,168,Frank,wrongness,neutral,1,neutral,neutral
female,170,Frank,wrongness,neutral,2,neutral,neutral
male,172,Frank,wrongness,neutral,1,neutral,neutral
female,179,Frank,wrongness,neutral,1,neutral,neutral
male,181,Frank,wrongness,neutral,1,neutral,neutral
male,188,Frank,wrongness,neutral,1,neutral,neutral
male,192,Frank,wrongness,neutral,4,neutral,neutral
male,195,Frank,wrongness,neutral,1,neutral,neutral
female,201,Frank,wrongness,neutral,6,neutral,neutral
male,203,Frank,wrongness,neutral,1,neutral,neutral
female,216,Frank,wrongness,neutral,1,neutral,neutral
female,217,Frank,wrongness,neutral,4,neutral,neutral
male,219,Frank,wrongness,neutral,1,neutral,neutral
female,223,Frank,wrongness,neutral,4,neutral,neutral
female,229,Frank,wrongness,neutral,1,neutral,neutral
male,231,Frank,wrongness,neutral,1,neutral,neutral
female,232,Frank,wrongness,neutral,1,neutral,neutral
female,235,Frank,wrongness,neutral,1,neutral,neutral
male,236,Frank,wrongness,neutral,1,neutral,neutral
male,238,Frank,wrongness,neutral,2,neutral,neutral
male,246,Frank,wrongness,neutral,1,neutral,neutral
female,249,Frank,wrongness,neutral,2,neutral,neutral
female,251,Frank,wrongness,neutral,2,neutral,neutral
male,257,Frank,wrongness,neutral,5,neutral,neutral
male,262,Frank,wrongness,neutral,1,neutral,neutral
male,268,Frank,wrongness,neutral,1,neutral,neutral
male,270,Frank,wrongness,neutral,1,neutral,neutral
female,276,Frank,wrongness,neutral,1,neutral,neutral
female,281,Frank,wrongness,neutral,1,neutral,neutral
male,286,Frank,wrongness,neutral,1,neutral,neutral
male,289,Frank,wrongness,neutral,1,neutral,neutral
male,294,Frank,wrongness,neutral,1,neutral,neutral
female,295,Frank,wrongness,neutral,1,neutral,neutral
male,302,Frank,wrongness,neutral,1,neutral,neutral
female,307,Frank,wrongness,neutral,1,neutral,neutral
female,308,Frank,wrongness,neutral,1,neutral,neutral
male,309,Frank,wrongness,neutral,1,neutral,neutral
female,312,Frank,wrongness,neutral,1,neutral,neutral
male,322,Frank,wrongness,neutral,1,neutral,neutral
male,324,Frank,wrongness,neutral,1,neutral,neutral
female,327,Frank,wrongness,neutral,1,neutral,neutral
female,329,Frank,wrongness,neutral,1,neutral,neutral
female,335,Frank,wrongness,neutral,2,neutral,neutral
female,342,Frank,wrongness,neutral,1,neutral,neutral
female,343,Frank,wrongness,neutral,1,neutral,neutral
female,346,Frank,wrongness,neutral,1,neutral,neutral
female,354,Frank,wrongness,neutral,1,neutral,neutral
female,356,Frank,wrongness,neutral,1,neutral,neutral
male,359,Frank,wrongness,neutral,5,neutral,neutral
male,364,Frank,wrongness,neutral,2,neutral,neutral
female,368,Frank,wrongness,neutral,3,neutral,neutral
female,374,Frank,wrongness,neutral,1,neutral,neutral
female,376,Frank,wrongness,neutral,3,neutral,neutral
male,378,Frank,wrongness,neutral,2,neutral,neutral
female,385,Frank,wrongness,neutral,4,neutral,neutral
male,389,Frank,wrongness,neutral,2,neutral,neutral
male,390,Frank,wrongness,neutral,1,neutral,neutral
male,397,Frank,wrongness,neutral,1,neutral,neutral
male,398,Frank,wrongness,neutral,1,neutral,neutral
male,405,Frank,wrongness,neutral,1,neutral,neutral
female,407,Frank,wrongness,neutral,3,neutral,neutral
male,408,Frank,wrongness,neutral,1,neutral,neutral
male,409,Frank,wrongness,neutral,1,neutral,neutral
male,416,Frank,wrongness,neutral,2,neutral,neutral
male,419,Frank,wrongness,neutral,1,neutral,neutral
female,427,Frank,wrongness,neutral,1,neutral,neutral
female,435,Frank,wrongness,neutral,1,neutral,neutral
female,439,Frank,wrongness,neutral,1,neutral,neutral
male,442,Frank,wrongness,neutral,1,neutral,neutral
female,445,Frank,wrongness,neutral,1,neutral,neutral
female,447,Frank,wrongness,neutral,2,neutral,neutral
male,455,Frank,wrongness,neutral,1,neutral,neutral
female,457,Frank,wrongness,neutral,1,neutral,neutral
male,461,Frank,wrongness,neutral,1,neutral,neutral
female,468,Frank,wrongness,neutral,1,neutral,neutral
female,473,Frank,wrongness,neutral,1,neutral,neutral
female,475,Frank,wrongness,neutral,1,neutral,neutral
female,476,Frank,wrongness,neutral,1,neutral,neutral
male,478,Frank,wrongness,neutral,1,neutral,neutral
male,485,Frank,wrongness,neutral,1,neutral,neutral
male,491,Frank,wrongness,neutral,1,neutral,neutral
female,496,Frank,wrongness,neutral,1,neutral,neutral
female,499,Frank,wrongness,neutral,1,neutral,neutral
male,4,Irene,wrongness,neutral,4,neutral,neutral
male,7,Irene,wrongness,neutral,1,neutral,neutral
female,12,Irene,wrongness,neutral,2,neutral,neutral
female,14,Irene,wrongness,neutral,1,neutral,neutral
female,21,Irene,wrongness,neutral,1,neutral,neutral
male,34,Irene,wrongness,neutral,1,neutral,neutral
male,35,Irene,wrongness,neutral,1,neutral,neutral
male,36,Irene,wrongness,neutral,2,neutral,neutral
male,37,Irene,wrongness,neutral,1,neutral,neutral
female,42,Irene,wrongness,neutral,1,neutral,neutral
female,45,Irene,wrongness,neutral,1,neutral,neutral
male,47,Irene,wrongness,neutral,1,neutral,neutral
female,54,Irene,wrongness,neutral,7,neutral,neutral
male,55,Irene,wrongness,neutral,1,neutral,neutral
female,56,Irene,wrongness,neutral,1,neutral,neutral
male,59,Irene,wrongness,neutral,1,neutral,neutral
male,70,Irene,wrongness,neutral,1,neutral,neutral
female,72,Irene,wrongness,neutral,7,neutral,neutral
female,75,Irene,wrongness,neutral,1,neutral,neutral
male,79,Irene,wrongness,neutral,1,neutral,neutral
male,86,Irene,wrongness,neutral,1,neutral,neutral
male,87,Irene,wrongness,neutral,4,neutral,neutral
female,92,Irene,wrongness,neutral,3,neutral,neutral
male,97,Irene,wrongness,neutral,5,neutral,neutral
female,99,Irene,wrongness,neutral,2,neutral,neutral
male,102,Irene,wrongness,neutral,4,neutral,neutral
female,103,Irene,wrongness,neutral,1,neutral,neutral
male,106,Irene,wrongness,neutral,1,neutral,neutral
male,107,Irene,wrongness,neutral,1,neutral,neutral
male,117,Irene,wrongness,neutral,1,neutral,neutral
male,127,Irene,wrongness,neutral,2,neutral,neutral
male,128,Irene,wrongness,neutral,4,neutral,neutral
female,130,Irene,wrongness,neutral,1,neutral,neutral
male,134,Irene,wrongness,neutral,1,neutral,neutral
male,145,Irene,wrongness,neutral,1,neutral,neutral
male,148,Irene,wrongness,neutral,2,neutral,neutral
male,152,Irene,wrongness,neutral,4,neutral,neutral
male,154,Irene,wrongness,neutral,1,neutral,neutral
female,157,Irene,wrongness,neutral,1,neutral,neutral
female,159,Irene,wrongness,neutral,1,neutral,neutral
male,169,Irene,wrongness,neutral,1,neutral,neutral
male,171,Irene,wrongness,neutral,1,neutral,neutral
female,174,Irene,wrongness,neutral,1,neutral,neutral
female,176,Irene,wrongness,neutral,1,neutral,neutral
male,182,Irene,wrongness,neutral,2,neutral,neutral
female,185,Irene,wrongness,neutral,1,neutral,neutral
male,190,Irene,wrongness,neutral,5,neutral,neutral
male,193,Irene,wrongness,neutral,1,neutral,neutral
male,197,Irene,wrongness,neutral,1,neutral,neutral
female,204,Irene,wrongness,neutral,1,neutral,neutral
male,205,Irene,wrongness,neutral,2,neutral,neutral
male,206,Irene,wrongness,neutral,1,neutral,neutral
female,208,Irene,wrongness,neutral,1,neutral,neutral
male,211,Irene,wrongness,neutral,1,neutral,neutral
female,222,Irene,wrongness,neutral,1,neutral,neutral
female,225,Irene,wrongness,neutral,1,neutral,neutral
male,230,Irene,wrongness,neutral,1,neutral,neutral
female,234,Irene,wrongness,neutral,1,neutral,neutral
female,237,Irene,wrongness,neutral,3,neutral,neutral
male,241,Irene,wrongness,neutral,1,neutral,neutral
male,242,Irene,wrongness,neutral,1,neutral,neutral
male,245,Irene,wrongness,neutral,1,neutral,neutral
female,247,Irene,wrongness,neutral,1,neutral,neutral
male,250,Irene,wrongness,neutral,1,neutral,neutral
female,261,Irene,wrongness,neutral,6,neutral,neutral
female,263,Irene,wrongness,neutral,4,neutral,neutral
female,271,Irene,wrongness,neutral,1,neutral,neutral
male,275,Irene,wrongness,neutral,1,neutral,neutral
male,278,Irene,wrongness,neutral,1,neutral,neutral
male,279,Irene,wrongness,neutral,1,neutral,neutral
male,282,Irene,wrongness,neutral,6,neutral,neutral
male,285,Irene,wrongness,neutral,1,neutral,neutral
male,290,Irene,wrongness,neutral,1,neutral,neutral
female,298,Irene,wrongness,neutral,1,neutral,neutral
male,301,Irene,wrongness,neutral,1,neutral,neutral
female,303,Irene,wrongness,neutral,1,neutral,neutral
female,306,Irene,wrongness,neutral,2,neutral,neutral
female,311,Irene,wrongness,neutral,1,neutral,neutral
female,314,Irene,wrongness,neutral,1,neutral,neutral
male,321,Irene,wrongness,neutral,1,neutral,neutral
male,326,Irene,wrongness,neutral,2,neutral,neutral
female,330,Irene,wrongness,neutral,1,neutral,neutral
male,331,Irene,wrongness,neutral,2,neutral,neutral
female,334,Irene,wrongness,neutral,1,neutral,neutral
male,340,Irene,wrongness,neutral,1,neutral,neutral
male,341,Irene,wrongness,neutral,3,neutral,neutral
male,347,Irene,wrongness,neutral,1,neutral,neutral
male,348,Irene,wrongness,neutral,1,neutral,neutral
male,357,Irene,wrongness,neutral,1,neutral,neutral
female,360,Irene,wrongness,neutral,1,neutral,neutral
female,363,Irene,wrongness,neutral,1,neutral,neutral
male,370,Irene,wrongness,neutral,1,neutral,neutral
female,372,Irene,wrongness,neutral,1,neutral,neutral
male,373,Irene,wrongness,neutral,6,neutral,neutral
female,381,Irene,wrongness,neutral,1,neutral,neutral
male,382,Irene,wrongness,neutral,1,neutral,neutral
male,388,Irene,wrongness,neutral,1,neutral,neutral
female,394,Irene,wrongness,neutral,4,neutral,neutral
male,396,Irene,wrongness,neutral,1,neutral,neutral
male,399,Irene,wrongness,neutral,1,neutral,neutral
female,403,Irene,wrongness,neutral,1,neutral,neutral
female,410,Irene,wrongness,neutral,1,neutral,neutral
male,414,Irene,wrongness,neutral,1,neutral,neutral
female,415,Irene,wrongness,neutral,4,neutral,neutral
female,426,Irene,wrongness,neutral,1,neutral,neutral
female,428,Irene,wrongness,neutral,1,neutral,neutral
male,429,Irene,wrongness,neutral,7,neutral,neutral
female,431,Irene,wrongness,neutral,1,neutral,neutral
female,432,Irene,wrongness,neutral,1,neutral,neutral
female,438,Irene,wrongness,neutral,1,neutral,neutral
male,441,Irene,wrongness,neutral,1,neutral,neutral
male,444,Irene,wrongness,neutral,1,neutral,neutral
male,450,Irene,wrongness,neutral,1,neutral,neutral
male,456,Irene,wrongness,neutral,1,neutral,neutral
female,458,Irene,wrongness,neutral,1,neutral,neutral
female,463,Irene,wrongness,neutral,1,neutral,neutral
male,465,Irene,wrongness,neutral,1,neutral,neutral
male,471,Irene,wrongness,neutral,1,neutral,neutral
female,477,Irene,wrongness,neutral,4,neutral,neutral
male,479,Irene,wrongness,neutral,1,neutral,neutral
male,484,Irene,wrongness,neutral,1,neutral,neutral
male,486,Irene,wrongness,neutral,1,neutral,neutral
male,489,Irene,wrongness,neutral,1,neutral,neutral
female,493,Irene,wrongness,neutral,1,neutral,neutral
female,498,Irene,wrongness,neutral,2,neutral,neutral
female,500,Irene,wrongness,neutral,1,neutral,neutral
female,2,Grace,punishment,neutral,1,neutral,neutral
female,11,Grace,punishment,neutral,1,neutral,neutral
male,16,Grace,punishment,neutral,1,neutral,neutral
male,17,Grace,punishment,neutral,1,neutral,neutral
male,20,Grace,punishment,neutral,3,neutral,neutral
male,22,Grace,punishment,neutral,1,neutral,neutral
male,24,Grace,punishment,neutral,1,neutral,neutral
male,30,Grace,punishment,neutral,1,neutral,neutral
female,31,Grace,punishment,neutral,1,neutral,neutral
male,33,Grace,punishment,neutral,1,neutral,neutral
male,39,Grace,punishment,neutral,1,neutral,neutral
female,40,Grace,punishment,neutral,1,neutral,neutral
male,52,Grace,punishment,neutral,1,neutral,neutral
male,53,Grace,punishment,neutral,1,neutral,neutral
male,58,Grace,punishment,neutral,1,neutral,neutral
